01/06/1979;60,871;30,056;36,667
01/07/1979;69,146;34,691;45,491
01/08/1979;61,881;43,024;50,178
01/09/1979;73,448;53,996;61,224
01/10/1979;106,536;61,881;71,854
01/11/1979;215,577;74,54;105,65
01/12/1979;514,331;147,243;234,981
01/01/1980;467,121;82,375;169,287
01/02/1980;623,066;85,833;190,822
01/03/1980;173,064;45,669;84,312
01/04/1980;139,598;30,056;53,446
01/05/1980;185,471;15,528;45,19
01/06/1980;21,638;15,528;18,114
01/07/1980;26,408;22,96;23,882
01/08/1980;28,573;22,96;25,469
01/09/1980;45,669;30,056;34,199
01/10/1980;58,871;30,056;38,133
01/11/1980;74,54;41,298;53,262
01/12/1980;396,633;49,298;95,674
01/01/1981;222,235;51,155;100,627
01/02/1981;185,471;62,898;111,896
01/03/1981;353,697;55,925;122,802
01/04/1981;124,746;29,311;57,688
01/05/1981;59,868;20,349;28,148
01/06/1981;36,298;22,96;26,447
01/07/1981;30,056;26,408;27,856
01/08/1981;46,565;30,056;35,799
01/09/1981;78,977;37,934;43,979
01/10/1981;60,871;45,669;53,512
01/11/1981;200,324;57,882;103,098
01/12/1981;206,813;53,996;95,348
01/01/1982;773,345;94,131;216,73
01/02/1982;353,697;73,448;146,922
01/03/1982;361,614;32,339;118,269
01/04/1982;151,119;17,272;49,653
01/05/1982;84,674;16,101;26,243
01/06/1982;74,54;18,477;27,354
01/07/1982;25,005;19,093;20,842
01/08/1982;36,298;22,96;26,791
01/09/1982;39,601;24,315;29,244
01/10/1982;53,042;29,311;35,381
01/11/1982;107,812;33,899;47,846
01/12/1982;193,909;46,565;69,138
01/01/1983;233,488;70,211;110,421
01/02/1983;139,598;69,146;89,547
01/03/1983;145,318;43,024;76,693
01/04/1983;149,176;27,844;58,655
01/05/1983;78,977;14,964;30,861
01/06/1983;37,112;17,87;24,074
01/07/1983;26,408;22,295;23,14
01/08/1983;37,934;26,408;31,062
01/09/1983;75,64;31,57;44,797
01/10/1983;86,999;30,056;46,082
01/11/1983;86,999;42,157;52,517
01/12/1983;158,977;46,565;69,581
01/01/1984;292,626;55,925;87,2
01/02/1984;404,875;65,991;147,431
01/03/1984;275,595;49,298;112,651
01/04/1984;177,166;22,295;56,819
01/05/1984;100,253;16,101;30,154
01/06/1984;51,155;19,093;26,207
01/07/1984;22,96;18,477;21,413
01/08/1984;33,899;22,96;27,814
01/09/1984;63,922;33,899;43,874
01/10/1984;58,871;37,934;45,769
01/11/1984;275,595;54,957;87,166
01/12/1984;121,126;47,469;68,576
01/01/1985;256,577;56,9;86,854
01/02/1985;438,438;55,925;145,718
01/03/1985;242,631;49,298;106,388
01/04/1985;233,488;33,899;79,299
01/05/1985;100,253;24,315;50,425
01/06/1985;106,536;19,716;42,931
01/07/1985;41,298;21,638;25,418
01/08/1985;40,446;22,96;29,957
01/09/1985;56,9;31,57;39,861
01/10/1985;80,103;45,669;52,275
01/11/1985;222,235;47,469;83,971
01/12/1985;292,626;69,146;129,731
01/01/1986;508,342;55,925;161,936
01/02/1986;263,652;38,764;82,44
01/03/1986;139,598;29,311;60,286
01/04/1986;155,031;17,272;49,223
01/05/1986;40,446;13,325;19,446
01/06/1986;22,295;11,131;13,78
01/07/1986;21,638;14,964;18,301
01/08/1986;32,339;21,638;26,061
01/09/1986;30,056;25,005;27,478
01/10/1986;53,042;30,056;39,368
01/11/1986;603,907;43,898;98,908
01/12/1986;69,146;37,112;51,634
01/01/1987;183,382;45,669;78,58
01/02/1987;193,909;47,469;82,396
01/03/1987;315,048;26,408;94,244
01/04/1987;63,922;19,093;29,781
01/05/1987;160,964;17,87;38,259
01/06/1987;23,634;18,477;20,802
01/07/1987;37,112;23,634;28,127
01/08/1987;43,898;27,844;32,578
01/09/1987;56,9;37,112;44,102
01/10/1987;64,953;46,565;53,509
01/11/1987;189,673;65,991;95,198
01/12/1987;410,403;48,38;141,19
01/01/1988;278,006;50,223;95,524
01/02/1988;338,048;80,103;136,522
01/03/1988;671,882;37,934;170,574
01/04/1988;100,253;25,703;57,146
01/05/1988;438,438;13,863;97,028
01/06/1988;39,601;19,716;24,579
01/07/1988;31,57;24,315;27,889
01/08/1988;60,871;31,57;38,822
01/09/1988;86,999;40,446;47,845
01/10/1988;75,64;53,996;63,367
01/11/1988;623,066;75,64;151,517
01/12/1988;191,787;72,362;110,207
01/01/1989;168,996;80,103;114,204
01/02/1989;364,267;62,898;135,302
01/03/1989;330,318;42,157;92,823
01/04/1989;213,374;34,691;104,621
01/05/1989;177,166;22,96;67,848
01/06/1989;20,989;10,367;14,086
01/07/1989;16,101;11,131;14,029
01/08/1989;38,764;16,682;21,854
01/09/1989;27,844;17,87;21,133
01/10/1989;50,223;22,295;30,374
01/11/1989;145,318;33,115;54,712
01/12/1989;126,57;52,095;78,892
01/01/1990;222,235;49,298;100,844
01/02/1990;158,977;22,96;68,173
01/03/1990;317,575;9,623;82,441
01/04/1990;71,283;8,901;17,908
01/05/1990;29,311;9,623;15,547
01/06/1990;10,367;5,03;6,454
01/07/1990;14,964;5,617;7,888
01/08/1990;11,131;7,188;8,55
01/09/1990;18,477;10,367;13,832
01/10/1990;21,638;10,747;13,687
01/11/1990;50,223;16,101;25,308
01/12/1990;122,932;21,638;47,838
01/01/1991;105,267;11,131;31,933
01/02/1991;96,56;12,315;33,094
01/03/1991;59,868;11,521;23,559
01/04/1991;83,521;13,325;34,924
01/05/1991;110,382;12,72;63,383
01/06/1991;13,863;9,623;10,896
01/07/1991;13,325;9,993;11,616
01/08/1991;17,87;13,325;15,546
01/09/1991;17,272;15,528;16,606
01/10/1991;30,809;17,87;22,542
01/11/1991;145,318;36,298;68,043
01/12/1991;206,813;43,024;107,21
01/01/1992;275,595;37,112;124,652
01/02/1992;233,488;22,96;70,186
01/03/1992;100,253;13,325;42,961
01/04/1992;80,103;12,72;38,252
01/05/1992;42,157;9,259;18,198
01/06/1992;12,72;7,857;10,165
01/07/1992;12,72;10,367;11,683
01/08/1992;14,964;12,72;13,985
01/09/1992;17,272;14,964;16,259
01/10/1992;25,005;16,682;19,836
01/11/1992;46,565;20,989;34,14
01/12/1992;62,898;43,024;50,587
01/01/1993;90,535;46,565;60,049
01/02/1993;82,375;34,691;51,099
01/03/1993;233,488;34,691;82,326
01/04/1993;77,858;30,056;40,032
01/05/1993;143,403;11,521;32,434
01/06/1993;23,634;13,325;16,809
01/07/1993;37,112;19,093;24,179
01/08/1993;23,634;19,716;21,4
01/09/1993;30,056;23,634;26,503
01/10/1993;36,298;30,056;33,71
01/11/1993;52,095;32,339;39,462
01/12/1993;111,677;53,996;85,503
01/01/1994;220,008;57,882;96,439
01/02/1994;110,382;53,042;78,769
01/03/1994;231,222;38,764;79,939
01/04/1994;242,631;43,898;139,243
01/05/1994;90,535;17,272;31,119
01/06/1994;86,999;20,349;32,617
01/07/1994;30,809;22,295;26,843
01/08/1994;42,157;30,809;36,29
01/09/1994;57,882;41,298;47,396
01/10/1994;59,868;46,565;52,188
01/11/1994;99,016;61,881;78,517
01/12/1994;261,286;89,35;123,34
01/01/1995;179,229;86,999;121,868
01/02/1995;240,334;65,991;146,434
01/03/1995;273,192;41,298;113,177
01/04/1995;268,407;43,024;90,026
01/05/1995;136,05;28,573;48,779
01/06/1995;36,298;22,96;28,409
01/07/1995;29,311;22,295;24,83
01/08/1995;33,461;26,408;29,261
01/09/1995;79,33;34,14;52,196
01/10/1995;105,31;58,944;82,35
01/11/1995;133,802;56,371;87,68
01/12/1995;643,178;71,612;168,108
01/01/1996;568,981;70,671;148,434
01/02/1996;177,916;54,683;96,27
01/03/1996;177,916;44,266;84,699
01/04/1996;143,916;22,276;51,813
01/05/1996;75,427;30,156;41,761
01/06/1996;36,213;12,247;17,958
01/07/1996;29,513;22,845;26,558
01/08/1996;36,213;25,183;30,985
01/09/1996;43,505;37,625;40,166
01/10/1996;61,568;42;53,494
01/11/1996;200,897;56,371;119,625
01/12/1996;252,4;86,365;162,122
01/01/1997;347,055;58,081;159,456
01/02/1997;248,103;63,344;118,544
01/03/1997;200,897;48,955;91,235
01/04/1997;83,318;16,936;44,078
01/05/1997;58,081;17,952;31,41
01/06/1997;26,389;13,583;15,291
01/07/1997;30,156;15,46;19,161
01/08/1997;28,245;21,157;23,004
01/09/1997;28,245;22,845;25,147
01/10/1997;64,241;28,876;39,045
01/11/1997;342,153;68,807;162,334
01/12/1997;392,457;174,198;243,451
01/01/1998;292,429;60,688;174,379
01/02/1998;163,239;30,156;73,051
01/03/1998;39,786;13,131;18,234
01/04/1998;112,942;18,47;44,399
01/05/1998;35,516;18,47;23,178
01/06/1998;24,589;21,157;22,077
01/07/1998;28,245;25,183;26,85
01/08/1998;32,121;29,513;30,895
01/09/1998;34,14;32,121;32,882
01/10/1998;41,256;34,14;37,061
01/11/1998;60,688;42;48,892
01/12/1998;84,328;57,223;70,492
01/01/1999;299,335;91,55;144,227
01/02/1999;216,85;80,319;124,776
01/03/1999;1072,248;25,249;168,251
01/04/1999;69,256;14,944;27,493
01/05/1999;116,056;16,534;37,558
01/06/1999;25,873;15,998;20,736
01/07/1999;28,416;20,449;23,012
01/08/1999;31,154;23,41;26,382
01/09/1999;71,807;29,718;38,524
01/10/1999;154,332;31,912;44,304
01/11/1999;142,21;45,871;62,421
01/12/1999;434,725;75,705;147,187
01/01/2000;356,945;85,126;174,04
01/02/2000;337,279;35,806;149,189
01/03/2000;71,807;24,631;43,854
01/04/2000;96,443;39,05;63,988
01/05/2000;67,995;14,425;30,802
01/06/2000;21,03;14,944;17,618
01/07/2000;25,873;21,617;23,149
01/08/2000;33,448;26,501;29,491
01/09/2000;42,405;33,448;38,484
01/10/2000;116,056;43,261;57,446
01/11/2000;161,441;57,078;89,318
01/12/2000;389,875;77,023;175,32
01/01/2001;263,275;54,76;124,072
01/02/2001;337,279;85,126;180,411
01/03/2001;568,981;24,018;121,721
01/04/2001;142,21;23,41;49,696
01/05/2001;52,481;12,908;30,839
01/06/2001;16,534;10,974;13,221
01/07/2001;21,03;12,908;17,325
01/08/2001;33,448;20,449;24,728
01/09/2001;50,355;24,018;31,85
01/10/2001;51,271;29,718;37,617
01/11/2001;70,527;35,013;46,685
01/12/2001;283,325;49,444;90,09
01/01/2002;315,706;52,481;110,742
01/02/2002;237,493;25,873;91,622
01/03/2002;142,21;29,065;53,173
01/04/2002;106,819;23,41;48,151
01/05/2002;42,405;19,302;26,664
01/06/2002;25,873;15,998;20,808
01/07/2002;37,414;21,617;28,244
01/08/2002;35,013;25,873;29,959
01/09/2002;59,436;33,448;39,602
01/10/2002;75,705;40,714;49,235
01/11/2002;227,075;53,616;98,201
01/12/2002;551,019;38,228;197,612
01/01/2003;174,198;36,606;70,905
01/02/2003;462,041;29,065;154,891
